phase,area,perimeter,la,sa,lao
ksp,4009.5889996058,262.8208870966,86.7318420842,64.311115621,42.6623397698
ksp,581.0451059728,97.2338592066,30.9024811045,25.6587543176,16.7407147375
qtz,1410.0545179513,154.6502172501,51.6953593643,36.8931224083,62.1999895345
ksp,604.1017934909,115.027189232,41.6371507623,20.5826009043,57.131143837
ksp,3794.6158276749,278.2430204775,76.2161382178,67.2126585667,126.6480665149
pl,8789.2885812334,500.7722350127,148.2126617544,95.6871237582,80.7616037961
pl,450.1829356804,83.0170969543,26.5004494948,22.4275942227,72.5699689961
ksp,3375.8183319772,304.4353172259,94.6066117445,51.167075754,105.6226614785
pl,3681.7681073505,277.9590006453,85.9106519865,60.5538010223,41.1404343319
pl,1108.7196279483,132.5033849434,42.1402234456,35.3001967104,69.7992524327
pl,1897.9523561055,208.1352022705,64.538246333,42.0473762102,130.1908791634
pl,1649.7399963893,168.2847473311,55.3407794057,39.5888663974,64.5610351174
pl,6423.7168342882,344.1215971534,123.7405852495,70.2866967226,149.3731441048
qtz,13197.6515400406,592.1467753889,153.7569369319,123.3271496763,73.0819306989
pl,1504.9694119427,169.0518219538,55.6870173866,35.7551203315,97.8424749769
ksp,2610.0919380033,241.5427437928,96.500913999,38.5241840347,50.7229559588
pl,457.3742898769,131.2579703186,64.8659596081,10.4082645735,76.8974398015
pl,1462.6754184975,153.6275307343,48.7267414075,39.8407774529,89.3284434964
ksp,13168.9211966623,650.1062527967,214.6473311519,84.0255629132,61.3173874585
qtz,167.7889895237,53.6520087929,18.5750399772,12.3623392344,110.3040753949
pl,1082.9418509903,123.2691745611,39.7280675654,35.1303355486,116.2474396893
pl,265.8055979123,62.8020285166,19.1275266991,18.2381277049,62.9706153871
pl,5531.8498438715,330.4918657875,104.4923192263,72.4601209409,83.43526169
ksp,21194.0310708177,1222.1889590002,282.7620327789,173.5845006694,176.7729864582
ksp,9239.6223829979,620.4226197079,199.957140815,73.7465396511,61.8773846504
pl,1349.6275462262,151.8908658293,50.0125577713,35.6719515009,144.2274264607
pl,865.6517387579,138.6376425679,51.179260791,25.4670486772,15.7897679678
pl,1421.808621204,187.9201078732,62.0712907357,37.0818948609,64.9469274239
qtz,2632.2703917367,249.3931992722,71.5128394948,50.0508340636,86.1460392448
qtz,359.8523555638,76.5376390588,28.596861735,16.4873723875,83.9638974452
pl,19741.6615699619,692.2840174195,205.6563485296,129.2388145019,79.4352832838
qtz,620.8290638373,107.630257455,43.6914952019,18.5541401758,72.5019183039
qtz,9004.7116353743,356.4946611824,132.8294919947,86.8780856107,77.3911627768
qtz,33100.9648044988,840.995706831,382.7748772277,117.1377741176,93.8431908316
pl,6365.4523937243,382.4436262253,107.2030604351,83.3098588545,160.7091376341
pl,496.0092774331,92.9590635063,31.1019624605,22.0604105892,138.3365610832
pl,999.673019024,130.0589478289,39.9570655324,34.881497601,150.3916677953
ksp,8715.372890205,472.9827476763,169.8187269039,76.7397208079,98.4784298577
pl,2108.0394290905,205.3836844489,71.5760311944,43.5211790879,99.9458026562
qtz,9609.4143038497,456.929848876,139.1985210385,104.6516945858,58.3074225708
pl,512.8490985805,95.7564106369,35.1745968045,19.6016067164,137.0106512938
ksp,229.6339247375,58.9788868805,19.3170763337,15.5315228143,150.28191634
ksp,232.6957104007,65.0265628528,24.7843602767,12.4415115105,8.8699361918
ksp,180.6453541269,59.3696041354,23.2786126335,10.1182044494,3.3946933158
qtz,1166.5403376666,143.2974906517,58.9260065241,26.0534649837,108.0821383503
qtz,1050.1924824663,151.7525196487,68.4244389177,21.2818595563,82.8206870204
pl,2642.3210273132,254.8557222633,95.9345596797,43.8250487923,41.5587585888
qtz,1125.2062312139,143.4519267449,56.9983621468,26.4323735579,4.8035883189
ksp,4014.001004412,288.93061502,115.7977675615,49.4810159078,173.5545913989
ksp,1439.0392616885,147.0884800909,53.971458385,34.5211716693,167.2940547959
ksp,3806.0047167738,275.7001165027,93.2866303363,57.1257407905,22.0198626948
pl,4577.1644289776,317.7299901996,99.3561764692,69.3225554719,45.4406550471
ksp,857.2999856868,138.5363941988,46.6980538841,29.1251897244,58.4938291215
qtz,1088.4648032559,130.8130683474,48.0194838817,29.7145447059,17.9986538156
